Round,Loss,Main Reward,Opponent Reward
0,"{'policy_loss': -0.042294759303331375, 'value_loss': 1.7814069986343384, 'entropy_loss': -0.026344452053308487, 'total_loss': 1.7127678394317627}",34.86019980851415,29.97209977653256
1,"{'policy_loss': -0.05541437864303589, 'value_loss': 1.5918195247650146, 'entropy_loss': -0.022201137617230415, 'total_loss': 1.5142039060592651}",71.69929950745427,160.182798437163
2,"{'policy_loss': -0.07495571672916412, 'value_loss': 1.7036083936691284, 'entropy_loss': -0.02224033698439598, 'total_loss': 1.606412410736084}",-6.633999951023725,-5.431999955151696
3,"{'policy_loss': -0.05216274783015251, 'value_loss': 1.4456976652145386, 'entropy_loss': -0.027331525459885597, 'total_loss': 1.3662034273147583}",43.296199803153286,112.93719902180601
4,"{'policy_loss': 0.2802281379699707, 'value_loss': 1.7191390991210938, 'entropy_loss': -0.02836710400879383, 'total_loss': 1.971000075340271}",-5.549999955270323,-3.5079999622830655
5,"{'policy_loss': -0.17203794419765472, 'value_loss': 3.4809722900390625, 'entropy_loss': -0.02917572483420372, 'total_loss': 3.2797586917877197}",21.45629985340929,24.55729984156642
6,"{'policy_loss': -0.17645487189292908, 'value_loss': 1.997560739517212, 'entropy_loss': -0.029760155826807022, 'total_loss': 1.7913457155227661}",6.612999999815656,1.1510000203779782
7,"{'policy_loss': 0.04784215986728668, 'value_loss': 2.2552475929260254, 'entropy_loss': -0.02993270754814148, 'total_loss': 2.2731571197509766}",21.68199994369934,24.20899993432249
8,"{'policy_loss': 0.029700100421905518, 'value_loss': 2.5264062881469727, 'entropy_loss': -0.029850995168089867, 'total_loss': 2.5262553691864014}",31.720999861609016,24.687199931489886
9,"{'policy_loss': -0.007795393466949463, 'value_loss': 2.2881360054016113, 'entropy_loss': -0.029785625636577606, 'total_loss': 2.2505550384521484}",11.477999981769244,12.812999976835272
10,"{'policy_loss': 0.012798786163330078, 'value_loss': 2.4452767372131348, 'entropy_loss': -0.030067065730690956, 'total_loss': 2.428008556365967}",11.62499998126441,9.622999988721858
11,"{'policy_loss': 0.0952521413564682, 'value_loss': 3.767792224884033, 'entropy_loss': -0.030057774856686592, 'total_loss': 3.83298659324646}",48.68299966429913,26.505999921129842
12,"{'policy_loss': -0.09506027400493622, 'value_loss': 2.3775172233581543, 'entropy_loss': -0.029956378042697906, 'total_loss': 2.252500534057617}",15.810999920904578,11.441399980845745
13,"{'policy_loss': 0.02831759676337242, 'value_loss': 1.737078070640564, 'entropy_loss': -0.0299319289624691, 'total_loss': 1.7354637384414673}",31.97149985611759,42.342599686766334
14,"{'policy_loss': -0.07597870379686356, 'value_loss': 2.0520718097686768, 'entropy_loss': -0.03016890026628971, 'total_loss': 1.945924162864685}",-3.799999961454887,-4.410999958890898
15,"{'policy_loss': -0.040875256061553955, 'value_loss': 2.3441758155822754, 'entropy_loss': -0.030192550271749496, 'total_loss': 2.2731080055236816}",25.336999885395926,23.651499934800086
16,"{'policy_loss': 0.04352559894323349, 'value_loss': 2.118213653564453, 'entropy_loss': -0.03018537163734436, 'total_loss': 2.131553888320923}",19.327899951582367,25.996999883012904
17,"{'policy_loss': -0.005908876657485962, 'value_loss': 2.2152600288391113, 'entropy_loss': -0.030131597071886063, 'total_loss': 2.1792194843292236}",4.3320000085223,4.676000007166294
18,"{'policy_loss': -0.02796521782875061, 'value_loss': 1.986990213394165, 'entropy_loss': -0.030172061175107956, 'total_loss': 1.928852915763855}",4.751999962085392,-2.9089999661882757
19,"{'policy_loss': 0.13008829951286316, 'value_loss': 6.862117767333984, 'entropy_loss': -0.03018864244222641, 'total_loss': 6.96201753616333}",38.45999974592269,27.47219987405697
20,"{'policy_loss': -0.03456540405750275, 'value_loss': 4.993978977203369, 'entropy_loss': -0.03003646805882454, 'total_loss': 4.92937707901001}",35.35079984355252,61.259499616440735
21,"{'policy_loss': -0.05657432973384857, 'value_loss': 2.440186023712158, 'entropy_loss': -0.030178958550095558, 'total_loss': 2.3534326553344727}",63.01199947678833,25.326499929353304
22,"{'policy_loss': 0.11055278778076172, 'value_loss': 2.6990654468536377, 'entropy_loss': -0.030106130987405777, 'total_loss': 2.7795121669769287}",32.43799985903024,28.312599917648186
23,"{'policy_loss': 0.1572144478559494, 'value_loss': 2.44844388961792, 'entropy_loss': -0.030044369399547577, 'total_loss': 2.5756139755249023}",99.41179911638756,43.67329980927025
24,"{'policy_loss': 0.07618750631809235, 'value_loss': 2.6349895000457764, 'entropy_loss': -0.030183345079421997, 'total_loss': 2.6809937953948975}",26.819799923308892,28.861999872184242
25,"{'policy_loss': 0.013819709420204163, 'value_loss': 2.690567970275879, 'entropy_loss': -0.030078472569584846, 'total_loss': 2.674309253692627}",31.779999906168086,28.198999919339258
26,"{'policy_loss': -0.023371927440166473, 'value_loss': 2.516291618347168, 'entropy_loss': -0.030191553756594658, 'total_loss': 2.4627280235290527}",23.317999892911757,13.936699971462076
27,"{'policy_loss': -0.037991397082805634, 'value_loss': 2.6260390281677246, 'entropy_loss': -0.03008340299129486, 'total_loss': 2.557964324951172}",26.486999836452014,15.000099973512988
28,"{'policy_loss': 0.006582140922546387, 'value_loss': 2.6512880325317383, 'entropy_loss': -0.030166039243340492, 'total_loss': 2.62770414352417}",24.80399993210449,21.765999943527277
29,"{'policy_loss': -0.04824236407876015, 'value_loss': 6.339405536651611, 'entropy_loss': -0.030039889737963676, 'total_loss': 6.261123180389404}",43.63599972790689,23.946199931735464
30,"{'policy_loss': 0.12189681828022003, 'value_loss': 3.554973840713501, 'entropy_loss': -0.03019651025533676, 'total_loss': 3.646674156188965}",117.1288989608729,53.02329978679336
